,Squad,League,90s,Gls/90,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,AvgShotDist,npxG/90,npxG/Sh,np:G-xG,TotDist/pass,PrgDist/Pass,Short%,Med%,Long%,Ast,xAG,xA,A-xAG,PropShort,PropMed,PropLong,PropAssistShots,PropFinalThirdPasses,PropPassinPA,PropCrossinPA,TotPassAtt,Sw,Crs,TI,PropPassBlocked,SCA90,Shot-Creating Pass/90,Shot-Creating Drib/90,Shot-CreatingSh/90,Shot-Creating Def/90,Poss,Prop Def Pen Touches,Prop Def 3rd Touches,Prop Mid 3rd Touches,Prop Att 3rd Touches,Prop Att Pen Touches,AttDribbles,DribSucc%,RecPass/Misplayed,Dis,PropPassRecProg,OppPoss,TotalTouches,Tkl,Tkl%,PropTkl Def 3rd,PropTkl Mid 3rd,PropTkl Att 3rd,DribTkl,DribTkl%,Past,Blocks,PropBlockSh,PropBlockPass,Int,Clr,Age,Starts,Mn/Start,onG,onGA,+/-,onxG,onxGA,xG+/-,onG-xG,onGA-xGA,G-xG+/-,CrdY,Fls,Fld,TimesOffside,PKwon,PKcon,Recov,DuelWin%,AerialDuels
10,Granada,La-Liga,38.0,1.131578947368421,0.311,11.08,3.45,0.1,0.31,19.2,1.0842105263157895,0.1,-0.031578947368421054,18.832829332829334,7.733887733887735,0.843,0.8,0.45399999999999996,0.7368421052631579,30.9,0.6815789473684211,-2.9,0.36268386056820473,0.3556316743904896,0.21613271542749682,0.02891702891702892,0.07938007938007938,0.011623511623511622,0.0077490077490077495,338.3157894736842,0.011694943172459232,0.05690989952231922,20.81578947368421,0.024295832647010376,18.66,12.68421052631579,1.105263157894737,1.2894736842105263,0.7894736842105263,0.447,0.12600648332113354,0.22466799121614558,0.42904946146606715,0.18953257346021124,0.03074349053644254,13.026315789473685,0.545,17.683673469387756,8.447368421052632,2.751875360646278,0.5529999999999999,503.31578947368416,16.07894736842105,0.5613747954173487,0.5073649754500819,0.3927986906710311,0.09983633387888709,16.63157894736842,0.434,358,11.5,0.2974828375286041,0.702517162471396,8.578947368421053,22.13157894736842,28.1,418,80,1.1578947368421053,1.605263157894737,-0.45,1.1842105263157894,1.6973684210526316,-0.51,-0.02631578947368407,-0.09210526315789469,2.5,105,12.552631578947368,12.263157894736842,1.631578947368421,0.05263157894736842,0.23684210526315788,49.13157894736842,0.44799999999999995,35.39473684210527
11,Levante,La-Liga,38.0,1.3421052631578947,0.34,11.32,3.84,0.1,0.29,17.7,1.368421052631579,0.12,-0.23684210526315788,18.01946916719644,7.067705022250477,0.877,0.84,0.515,0.8947368421052632,36.6,0.6789473684210526,-2.6,0.3984898307148947,0.3610400682011935,0.17762757276823773,0.025270184361093455,0.07692307692307693,0.015178003814367451,0.005006357279084553,381.7894736842105,0.015071652116619996,0.05139186295503212,20.236842105263158,0.02561357272278043,18.82,12.473684210526315,1.236842105263158,1.7105263157894737,0.5789473684210527,0.47200000000000003,0.1153099835063549,0.24279615795090714,0.42636072572038414,0.181381585330358,0.03415154749199573,17.973684210526315,0.51,20.188925081433226,7.947368421052632,2.8877057115198452,0.528,542.4736842105264,14.68421052631579,0.5465949820788532,0.48028673835125446,0.37992831541218636,0.13978494623655915,16.07894736842105,0.38799999999999996,374,8.578947368421053,0.3374233128834356,0.6625766871165644,9.921052631578947,19.342105263157894,28.0,418,81,1.3421052631578947,2.0,-0.66,1.6105263157894738,1.6026315789473684,0.01,-0.2684210526315791,0.3973684210526316,-25.3,109,14.473684210526315,10.605263157894736,2.026315789473684,0.15789473684210525,0.15789473684210525,54.05263157894737,0.473,24.55263157894737
12,Mallorca,La-Liga,38.0,0.868421052631579,0.298,11.58,3.45,0.06,0.21,19.5,1.0157894736842106,0.09,-0.30526315789473685,17.64756472931378,7.424044903132357,0.851,0.7959999999999999,0.488,0.6052631578947368,29.7,0.7447368421052631,-6.7,0.40298209412234576,0.3430073886707049,0.1791253411435798,0.027430744160782186,0.07296759007785623,0.01548071700162955,0.005793952562013398,342.6842105263158,0.009306539285126009,0.04916817657717015,20.736842105263158,0.02561357272278043,20.03,12.81578947368421,1.1578947368421053,1.4473684210526316,0.7631578947368421,0.45299999999999996,0.11483253588516747,0.22416010701239905,0.42717497556207235,0.20085404126151157,0.03297834027884962,16.105263157894736,0.601,17.68515497553018,10.631578947368421,2.7866432985886913,0.547,511.5,15.973684210526315,0.5469522240527183,0.4958813838550248,0.3871499176276771,0.1169686985172982,14.5,0.45,303,9.842105263157896,0.3181818181818182,0.6818181818181818,9.052631578947368,21.736842105263158,27.9,418,82,0.9473684210526315,1.6578947368421053,-0.71,1.1578947368421053,1.4289473684210525,-0.27,-0.21052631578947378,0.2289473684210528,-16.8,114,14.578947368421053,14.078947368421053,1.763157894736842,0.15789473684210525,0.21052631578947367,52.81578947368421,0.48100000000000004,35.631578947368425
13,Osasuna,La-Liga,38.0,0.9736842105263158,0.268,11.18,3.0,0.07,0.27,19.6,0.9184210526315789,0.08,-0.10263157894736842,19.157762096774196,8.088037634408602,0.826,0.784,0.519,0.6052631578947368,25.6,0.7263157894736842,-2.6,0.37186781261348506,0.36696525844328776,0.1984021304926764,0.02494959677419355,0.09232190860215055,0.01461693548387097,0.010416666666666668,380.7894736842105,0.016059957173447537,0.07115796409158293,24.526315789473685,0.025448855213309175,18.92,13.026315789473685,0.7105263157894737,1.2894736842105263,0.5263157894736842,0.469,0.09783663174233605,0.19581878152890958,0.44766201008925105,0.22531043849437327,0.033372138145129994,12.289473684210526,0.5589999999999999,19.6214405360134,8.131578947368421,3.0039269250469527,0.531,542.5263157894738,15.18421052631579,0.5736568457538995,0.46793760831889086,0.4090121317157712,0.12305025996533796,15.736842105263158,0.42,347,8.947368421052632,0.338235294117647,0.6617647058823529,9.68421052631579,19.94736842105263,27.7,418,83,0.9736842105263158,1.3421052631578947,-0.37,1.0605263157894735,1.2842105263157895,-0.22,-0.08684210526315772,0.05789473684210522,-5.6,84,13.105263157894736,10.289473684210526,1.736842105263158,0.07894736842105263,0.18421052631578946,55.73684210526316,0.521,40.81578947368421
14,Rayo Vallecano,La-Liga,38.0,1.0,0.266,13.16,3.5,0.07,0.26,18.5,1.236842105263158,0.1,-0.34210526315789475,18.65231034753275,7.300619753667529,0.862,0.8270000000000001,0.525,0.7368421052631579,36.6,0.9421052631578947,-8.6,0.37843264631193524,0.36544026457213724,0.19352743164235517,0.028163489448497683,0.07939122930885698,0.012395073350592296,0.008551031615282026,390.2631578947368,0.01325975951243617,0.07099324658211167,23.842105263157894,0.026437160270136716,22.87,15.763157894736842,0.9736842105263158,1.4210526315789473,0.8157894736842105,0.499,0.10126641431842609,0.20617785877844758,0.4507687275106313,0.2077199869152764,0.034067012477218564,16.81578947368421,0.5589999999999999,18.03448275862069,9.763157894736842,2.821542383683875,0.501,563.1315789473684,16.342105263157894,0.5780998389694042,0.5152979066022544,0.38164251207729466,0.10305958132045089,18.105263157894736,0.40700000000000003,408,10.789473684210526,0.23170731707317074,0.7682926829268293,9.605263157894736,18.05263157894737,27.5,418,81,1.0263157894736843,1.3157894736842106,-0.29,1.3210526315789475,1.3657894736842104,-0.05,-0.2947368421052632,-0.04999999999999982,-9.3,101,14.131578947368421,13.447368421052632,2.1842105263157894,0.10526315789473684,0.23684210526315788,55.526315789473685,0.499,34.39473684210526
15,Real Madrid,La-Liga,38.0,2.1052631578947367,0.377,16.97,6.39,0.11,0.3,18.8,1.855263157894737,0.11,0.039473684210526314,16.635942544331634,5.270996116595705,0.9329999999999999,0.9079999999999999,0.685,1.5526315789473684,57.3,1.45,1.7,0.4647795407268425,0.35693600358934613,0.11836684749357587,0.024610489870397233,0.07925887802367473,0.01862162541524353,0.0026669162026856314,597.5,0.025448855213309175,0.05032119914346894,16.81578947368421,0.025778290232251685,31.66,24.05263157894737,2.1842105263157894,1.4473684210526316,0.9210526315789473,0.599,0.08426413768879523,0.20154548647699336,0.42174218475588343,0.25072005619950827,0.041728134878819816,20.526315789473685,0.585,42.68888888888888,7.2894736842105265,2.389948417017652,0.401,749.2105263157894,14.736842105263158,0.6160714285714286,0.5017857142857143,0.34821428571428575,0.15000000000000002,13.210526315789474,0.42,291,9.973684210526315,0.3007915567282322,0.6992084432717679,8.789473684210526,13.842105263157896,27.7,418,83,2.1052631578947367,0.8157894736842105,1.29,2.0763157894736843,1.2684210526315791,0.81,0.02894736842105239,-0.4526315789473686,18.3,76,10.368421052631579,12.473684210526315,2.789473684210526,0.2631578947368421,0.13157894736842105,51.078947368421055,0.5539999999999999,18.842105263157897
16,Real Sociedad,La-Liga,38.0,1.0526315789473684,0.33299999999999996,11.32,3.76,0.07,0.22,17.1,1.318421052631579,0.12,-0.5026315789473684,17.481594494578975,6.3749269622800755,0.883,0.8590000000000001,0.56,0.5789473684210527,37.9,0.9210526315789473,-15.9,0.4085681723995027,0.38484251968503935,0.14504765851636967,0.020320716743491524,0.06927221969746153,0.01597091475686554,0.004479646822047653,456.13157894736844,0.007906440454620325,0.052544885521330915,21.81578947368421,0.028990281666941196,20.21,13.710526315789474,1.4736842105263157,1.5,0.47368421052631576,0.5429999999999999,0.1095225938218024,0.20896093949451114,0.4512381924942558,0.19440898646923666,0.03586928772019403,17.63157894736842,0.537,24.126198083067095,10.289473684210526,2.674567966629146,0.4570000000000001,618.4736842105264,15.421052631578947,0.5784982935153583,0.4624573378839591,0.3993174061433447,0.13822525597269625,14.368421052631579,0.47600000000000003,286,10.052631578947368,0.27486910994764396,0.7251308900523561,9.157894736842104,18.5,25.7,418,81,1.0526315789473684,0.9736842105263158,0.08,1.5236842105263158,1.1605263157894736,0.36,-0.4710526315789474,-0.1868421052631578,-10.8,77,12.921052631578947,12.236842105263158,2.0,0.21052631578947367,0.15789473684210525,52.94736842105263,0.532,33.55263157894737
17,Sevilla,La-Liga,38.0,1.3421052631578947,0.32299999999999995,11.32,3.66,0.11,0.35,17.0,1.2105263157894737,0.11,0.07894736842105263,18.64396791618923,5.976591913570142,0.9009999999999999,0.888,0.607,1.0526315789473684,37.7,0.9105263157894737,2.3,0.38360169110371506,0.40208689394620856,0.1684357290635963,0.018660991979047307,0.0658591149669886,0.0105309106782343,0.006111202051617831,533.2894736842105,0.02569593147751606,0.06481633997693954,22.210526315789473,0.02511942019436666,20.71,15.052631578947368,0.9210526315789473,0.9210526315789473,0.631578947368421,0.594,0.10346285406818093,0.2377109035704677,0.43572005073215725,0.19466543679618736,0.02844075483300664,15.473684210526315,0.519,30.75042444821732,8.578947368421053,2.087566254416961,0.406,684.7105263157896,14.052631578947368,0.5655430711610487,0.4719101123595506,0.39513108614232206,0.13295880149812733,14.31578947368421,0.434,308,9.657894736842104,0.337874659400545,0.662125340599455,7.105263157894737,15.868421052631579,28.6,418,79,1.394736842105263,0.7894736842105263,0.61,1.2736842105263158,1.1394736842105262,0.13,0.1210526315789473,-0.34999999999999987,17.9,97,12.157894736842104,12.157894736842104,2.1052631578947367,0.07894736842105263,0.10526315789473684,54.31578947368421,0.515,30.421052631578945
18,Valencia,La-Liga,38.0,1.1842105263157894,0.327,10.37,3.39,0.09,0.29,18.9,0.981578947368421,0.1,-0.007894736842105263,19.47023995014023,8.072919912745403,0.82,0.775,0.486,0.7894736842105263,29.6,0.7210526315789473,0.4,0.34710023952965086,0.3593670610437686,0.2248675328445961,0.029915861639139917,0.09348706762231225,0.018801288044042793,0.00779058896852602,307.5263157894737,0.018695437324987647,0.06300444737275572,21.342105263157894,0.023801680118596607,18.74,12.342105263157896,1.1578947368421053,0.6842105263157895,0.47368421052631576,0.436,0.11059345535219078,0.21014975041597334,0.41508596783139207,0.2295063782584581,0.03466444814198558,16.894736842105264,0.561,14.400914634146341,7.7368421052631575,3.2581771991108286,0.5640000000000001,474.47368421052636,15.552631578947368,0.6159052453468697,0.48900169204737737,0.36717428087986465,0.14382402707275804,16.394736842105264,0.42700000000000005,357,9.81578947368421,0.2493297587131367,0.7506702412868632,8.921052631578947,19.63157894736842,24.8,418,81,1.263157894736842,1.394736842105263,-0.13,1.1473684210526316,1.2894736842105263,-0.14,0.11578947368421044,0.10526315789473673,0.40000000000000036,134,16.86842105263158,15.421052631578947,1.368421052631579,0.21052631578947367,0.21052631578947367,54.71052631578947,0.485,30.60526315789474
19,Villarreal,La-Liga,38.0,1.631578947368421,0.365,11.82,4.32,0.13,0.35,15.3,1.6789473684210525,0.15,-0.17894736842105263,17.810839978415974,6.161940164278433,0.8909999999999999,0.88,0.617,1.3421052631578947,54.3,1.313157894736842,-3.3,0.4032155286505564,0.3969413264055684,0.1384736042350865,0.021763894717908745,0.07662329875891839,0.016967444091372384,0.0039570717668924995,485.13157894736844,0.013671553286114312,0.0472739252182507,19.394736842105264,0.03261406687530884,20.97,15.289473684210526,1.5,1.0,0.5263157894736842,0.568,0.1003329360023018,0.2169016400180854,0.4414484771260636,0.2016523490484607,0.03966459780508858,19.68421052631579,0.604,28.643859649122806,8.736842105263158,2.802229435903718,0.43200000000000005,640.2368421052631,14.157894736842104,0.5799256505576209,0.4646840148698885,0.36617100371747213,0.16914498141263942,12.526315789473685,0.48100000000000004,247,8.68421052631579,0.33030303030303027,0.6696969696969697,8.657894736842104,16.94736842105263,28.0,418,81,1.6578947368421053,0.9736842105263158,0.68,1.7763157894736843,1.3394736842105264,0.44,-0.11842105263157898,-0.36578947368421055,9.399999999999999,81,12.421052631578947,12.078947368421053,2.3947368421052633,0.07894736842105263,0.13157894736842105,51.21052631578947,0.529,24.421052631578945
